name,image
"Sidi Ali","https://images.openfoodfacts.org/images/products/611/103/500/0430/front_en.104.400.jpg"
"Perly","https://images.openfoodfacts.org/images/products/611/124/210/0992/front_fr.172.400.jpg"
"Sidi Ali","https://images.openfoodfacts.org/images/products/611/103/500/2175/front_fr.118.400.jpg"
"Eau minérale naturelle","https://images.openfoodfacts.org/images/products/611/103/500/0058/front_en.134.400.jpg"
"اكوافينا","https://images.openfoodfacts.org/images/products/611/125/242/1568/front_en.62.400.jpg"
"Lait","https://images.openfoodfacts.org/images/products/611/126/696/2187/front_fr.56.400.jpg"
"Eau De Source","https://images.openfoodfacts.org/images/products/327/408/000/5003/front_en.797.400.jpg"
"Fromage Blanc Nature","https://images.openfoodfacts.org/images/products/611/124/672/1261/front_fr.94.400.jpg"
"uht jaouda 1L","https://images.openfoodfacts.org/images/products/611/124/210/1180/front_fr.79.400.jpg"
"Jben","https://images.openfoodfacts.org/images/products/611/124/210/6949/front_fr.77.400.jpg"
"Ain Saïss","https://images.openfoodfacts.org/images/products/611/112/800/0071/front_fr.62.400.jpg"
"Eau minéral naturelle","https://images.openfoodfacts.org/images/products/611/103/550/2828/front_fr.3.400.jpg"
"6111035000027","https://images.openfoodfacts.org/images/products/611/103/500/0027/front_en.59.400.jpg"
"Yeast Extract","https://images.openfoodfacts.org/images/products/000/005/018/4453/front_en.126.400.jpg"
"Coca Cola Original Taste","https://images.openfoodfacts.org/images/products/544/900/005/4227/front_en.406.400.jpg"
"اكوافينا","https://images.openfoodfacts.org/images/products/611/125/242/1582/front_ar.34.400.jpg"
"Prince Goût Chocolat","https://images.openfoodfacts.org/images/products/762/221/044/9283/front_en.605.400.jpg"
"Edelbitterschokolade Mild 90%","https://images.openfoodfacts.org/images/products/304/692/002/9759/front_en.492.400.jpg"
"Extra fine dark chocolate","https://images.openfoodfacts.org/images/products/304/692/002/8004/front_en.396.400.jpg"
"Oulmes natural carbonated water","https://images.openfoodfacts.org/images/products/611/103/500/3035/front_en.61.400.jpg"
"Nutella","https://images.openfoodfacts.org/images/products/301/762/042/5035/front_en.583.400.jpg"
"Cappy PULPY","https://images.openfoodfacts.org/images/products/544/900/014/7417/front_en.73.400.jpg"
"Tonik","https://images.openfoodfacts.org/images/products/611/103/100/5064/front_fr.56.400.jpg"
"levure pâtisserie","https://images.openfoodfacts.org/images/products/611/118/000/0231/front_fr.117.400.jpg"
"Ain Saiss Eau Minerale Naturelle","https://images.openfoodfacts.org/images/products/611/112/800/0163/front_fr.63.400.jpg"
"Sésame","https://images.openfoodfacts.org/images/products/317/568/001/1480/front_en.221.400.jpg"
"Confiture de fraise","https://images.openfoodfacts.org/images/products/611/116/200/0839/front_fr.52.400.jpg"
"Ain Atlas","https://images.openfoodfacts.org/images/products/611/103/500/1659/front_fr.21.400.jpg"
"Yaourt nature","https://images.openfoodfacts.org/images/products/611/124/210/0206/front_en.38.400.jpg"
"Galletas fibra zero azúcares","https://images.openfoodfacts.org/images/products/841/037/600/9392/front_en.104.400.jpg"
